                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 0.7615,                0.52094,                0.98484,                0.98143,                0.92047,                0.96175,                0.84844,                0.48355,                0.32359,                0.81846,              0.0074854,              0.0074854,              0.0074854
                    130,                 0.7567,                 0.5166,                0.98647,                 0.9806,                0.92145,                0.96258,                0.85102,                0.48189,                0.31888,                0.81749,              0.0074656,              0.0074656,              0.0074656
                    131,                0.76079,                0.52088,                0.98516,                 0.9797,                0.92341,                0.96277,                0.85207,                0.47957,                0.31696,                0.81648,              0.0074458,              0.0074458,              0.0074458
                    132,                0.76095,                0.52501,                0.98809,                0.98224,                 0.9225,                0.96314,                0.85227,                0.47801,                0.31801,                0.81545,               0.007426,               0.007426,               0.007426
                    133,                0.76395,                0.52722,                0.98244,                 0.9809,                0.92385,                 0.9633,                0.85328,                0.47541,                0.31598,                 0.8143,              0.0074062,              0.0074062,              0.0074062
                    134,                0.76685,                0.51707,                 0.9866,                0.98488,                0.92093,                0.96333,                0.85438,                0.47335,                0.31513,                0.81334,              0.0073864,              0.0073864,              0.0073864
                    135,                0.75842,                0.51436,                0.97884,                0.98233,                 0.9228,                0.96345,                0.85495,                 0.4717,                0.31449,                0.81284,              0.0073666,              0.0073666,              0.0073666
                    136,                0.75854,                0.52746,                0.98615,                0.98734,                 0.9182,                0.96354,                0.85555,                0.46993,                0.31347,                0.81235,              0.0073468,              0.0073468,              0.0073468
                    137,                 0.7534,                0.51931,                0.98652,                0.98641,                0.91903,                0.96358,                0.85723,                0.46874,                0.31104,                0.81166,               0.007327,               0.007327,               0.007327
                    138,                0.75712,                0.52029,                0.98374,                0.98532,                 0.9217,                0.96358,                0.85809,                0.46763,                0.31069,                0.81123,              0.0073072,              0.0073072,              0.0073072
                    139,                0.74573,                 0.5156,                 0.9771,                0.98645,                0.92107,                 0.9635,                 0.8579,                0.46616,                0.31028,                0.81097,              0.0072874,              0.0072874,              0.0072874
                    140,                0.74875,                 0.5257,                0.98427,                0.98786,                0.92002,                 0.9639,                0.85882,                0.46424,                 0.3097,                0.81029,              0.0072676,              0.0072676,              0.0072676
                    141,                0.74553,                0.51838,                0.97896,                0.98909,                0.92006,                0.96412,                0.85975,                0.46296,                0.30974,                0.80948,              0.0072478,              0.0072478,              0.0072478
                    142,                0.74558,                0.51045,                0.97653,                0.98792,                0.92053,                0.96455,                0.86059,                0.46192,                0.30841,                0.80898,               0.007228,               0.007228,               0.007228
                    143,                0.75013,                0.50753,                0.97938,                0.98728,                0.92165,                0.96472,                0.86187,                0.46018,                0.30613,                 0.8082,              0.0072082,              0.0072082,              0.0072082
                    144,                0.74972,                0.51296,                0.98244,                0.98789,                0.92115,                0.96518,                0.86282,                0.45869,                0.30578,                0.80764,              0.0071884,              0.0071884,              0.0071884
                    145,                0.74274,                0.50716,                0.97722,                0.98705,                0.91979,                0.96554,                0.86358,                0.45717,                0.30428,                0.80704,              0.0071686,              0.0071686,              0.0071686
                    146,                0.74602,                0.50725,                0.97674,                0.97861,                0.92781,                0.96585,                0.86376,                0.45605,                0.30326,                0.80668,              0.0071488,              0.0071488,              0.0071488
                    147,                0.74275,                  0.502,                0.98148,                 0.9802,                0.92813,                 0.9663,                0.86446,                0.45533,                0.30148,                 0.8063,               0.007129,               0.007129,               0.007129
                    148,                0.73636,                0.49922,                0.97232,                0.97994,                0.92725,                0.96662,                0.86552,                0.45385,                0.29946,                0.80551,              0.0071092,              0.0071092,              0.0071092
                    149,                0.74073,                0.50252,                0.97587,                0.98177,                0.92713,                0.96663,                0.86639,                0.45253,                0.29829,                0.80481,              0.0070894,              0.0070894,              0.0070894
                    150,                0.73222,                0.50158,                0.97236,                0.98475,                 0.9255,                0.96702,                0.86747,                0.45131,                0.29691,                 0.8041,              0.0070696,              0.0070696,              0.0070696
                    151,                 0.7374,                0.50208,                0.97243,                0.98603,                0.92566,                0.96738,                0.86825,                   0.45,                0.29479,                0.80345,              0.0070498,              0.0070498,              0.0070498
                    152,                0.73743,                0.49936,                0.97437,                0.98571,                0.92602,                0.96729,                0.86897,                0.44859,                 0.2934,                0.80302,                0.00703,                0.00703,                0.00703
                    153,                0.73493,                0.49384,                0.97154,                 0.9861,                0.92587,                0.96763,                0.86912,                0.44745,                0.29221,                0.80261,              0.0070102,              0.0070102,              0.0070102
                    154,                0.74114,                0.50907,                0.97587,                0.98728,                0.92537,                0.96814,                0.86994,                0.44608,                0.29093,                0.80208,              0.0069904,              0.0069904,              0.0069904
                    155,                0.72677,                0.49811,                0.97405,                0.98532,                0.92736,                0.96828,                0.87085,                0.44465,                0.29108,                 0.8015,              0.0069706,              0.0069706,              0.0069706
